order_id,customer_id,product_id,quantity,status,order_date,delivery_date,total_amount
O0046,C113,P035,1,Shipped,2026-08-02,2026-08-06,90
O0047,C107,P005,1,Shipped,2026-07-24,2026-07-29,1250
O0048,C068,P035,3,Delivered,2026-07-20,2026-07-27,270
O0049,C014,P001,3,Shipped,2026-08-05,2026-08-12,2550
O0050,C071,P009,2,Delivered,2026-07-08,2026-07-15,960
O0051,C044,P010,2,Delivered,2026-07-19,2026-07-26,1780
O0052,C063,P014,3,Delivered,2026-08-10,2026-08-16,1260
O0053,C006,P017,1,Delivered,2026-07-06,2026-07-10,340
O0054,C021,P001,2,Delivered,2026-07-09,2026-07-13,1700
O0055,C002,P048,2,Delivered,2026-08-05,2026-08-11,420
O0056,C005,P008,1,Delivered,2026-08-14,2026-08-20,1450
O0057,C017,P024,3,Processing,2026-08-05,,540
O0058,C116,P003,2,Delivered,2026-07-24,2026-07-26,1440
O0059,C046,P023,1,Shipped,2026-08-13,2026-08-15,65
O0060,C096,P050,3,Cancelled,2026-07-27,,540
O0061,C104,P010,1,Cancelled,2026-07-11,,890
O0062,C119,P012,2,Processing,2026-07-02,,600
O0063,C035,P022,2,Delivered,2026-08-12,2026-08-15,300
O0064,C110,P011,3,Shipped,2026-07-07,2026-07-09,1500
O0065,C045,P031,1,Delivered,2026-07-13,2026-07-18,35
O0066,C025,P020,1,Processing,2026-07-15,,460
O0067,C045,P026,2,Delivered,2026-07-18,2026-07-22,240
O0068,C043,P042,3,Delivered,2026-07-26,2026-08-01,660
O0069,C034,P002,1,Processing,2026-07-17,,650
O0070,C101,P003,1,Shipped,2026-08-08,2026-08-15,720
O0071,C015,P021,2,Cancelled,2026-08-08,,160
O0072,C056,P025,3,Shipped,2026-07-13,2026-07-20,165
O0073,C095,P001,3,Delivered,2026-08-04,2026-08-11,2550
O0074,C118,P043,1,Shipped,2026-07-24,2026-07-31,380
O0075,C093,P022,3,Delivered,2026-07-21,2026-07-23,450
O0076,C052,P020,3,Delivered,2026-07-20,2026-07-24,1380
O0077,C054,P045,2,Processing,2026-08-05,,900
O0078,C079,P043,2,Delivered,2026-08-13,2026-08-16,760
O0079,C039,P037,2,Delivered,2026-07-26,2026-07-28,120
O0080,C084,P019,1,Delivered,2026-07-28,2026-08-03,900
O0081,C066,P021,2,Shipped,2026-07-29,2026-08-01,160
O0082,C066,P031,3,Delivered,2026-07-11,2026-07-15,105
O0083,C087,P043,3,Shipped,2026-08-09,2026-08-12,1140
O0084,C006,P020,1,Processing,2026-07-13,,460
O0085,C059,P016,2,Delivered,2026-08-09,2026-08-11,500
O0086,C090,P027,3,Processing,2026-08-06,,285
O0087,C089,P025,2,Shipped,2026-07-26,2026-08-02,110
O0088,C067,P001,1,Shipped,2026-07-28,2026-08-04,850
O0089,C059,P030,1,Shipped,2026-08-05,2026-08-07,140
O0090,C077,P009,2,Delivered,2026-08-12,2026-08-18,960
O0091,C055,P021,2,Delivered,2026-08-09,2026-08-15,160
O0092,C058,P036,2,Delivered,2026-07-11,2026-07-16,90
O0093,C063,P017,1,Shipped,2026-08-10,2026-08-16,340
O0094,C037,P041,1,Shipped,2026-07-18,2026-07-25,160
O0095,C011,P016,2,Shipped,2026-07-22,2026-07-28,500
O0096,C091,P009,1,Shipped,2026-07-15,2026-07-18,480
O0097,C060,P014,1,Shipped,2026-07-27,2026-08-02,420
O0098,C116,P027,1,Delivered,2026-07-14,2026-07-19,95
O0099,C113,P050,3,Processing,2026-08-14,,540
O0100,C039,P049,3,Delivered,2026-07-25,2026-07-29,1290
O0101,C070,P049,2,Delivered,2026-07-27,2026-08-03,860
O0102,C063,P039,1,Shipped,2026-08-01,2026-08-06,110
O0103,C093,P002,2,Delivered,2026-07-22,2026-07-27,1300
O0104,C069,P011,2,Cancelled,2026-07-09,,1000
O0105,C011,P002,2,Delivered,2026-08-07,2026-08-09,1300
O0106,C007,P042,2,Delivered,2026-07-09,2026-07-12,440
O0107,C044,P017,2,Shipped,2026-07-21,2026-07-25,680
O0108,C033,P049,2,Delivered,2026-07-18,2026-07-23,860
O0109,C045,P006,2,Delivered,2026-07-02,2026-07-04,1180
O0110,C006,P015,3,Delivered,2026-07-05,2026-07-12,2040
O0111,C003,P049,1,Processing,2026-07-16,,430
O0112,C086,P040,1,Processing,2026-07-16,,55
O0113,C099,P008,3,Delivered,2026-07-14,2026-07-18,4350
O0114,C092,P024,1,Delivered,2026-08-08,2026-08-15,180
O0115,C004,P008,1,Processing,2026-07-20,,1450
O0116,C051,P020,3,Delivered,2026-08-13,2026-08-18,1380
O0117,C032,P046,1,Delivered,2026-07-05,2026-07-12,120
O0118,C104,P007,3,Delivered,2026-07-20,2026-07-26,2940
O0119,C085,P008,3,Shipped,2026-07-03,2026-07-08,4350
O0120,C109,P024,1,Delivered,2026-08-02,2026-08-04,180
O0121,C082,P027,2,Shipped,2026-07-07,2026-07-11,190
O0122,C067,P030,3,Shipped,2026-07-10,2026-07-17,420
O0123,C100,P042,2,Delivered,2026-08-09,2026-08-15,440
O0124,C035,P031,2,Delivered,2026-07-28,2026-08-03,70
O0125,C032,P021,1,Shipped,2026-07-06,2026-07-11,80
O0126,C044,P049,2,Delivered,2026-08-06,2026-08-11,860
O0127,C028,P002,2,Processing,2026-07-21,,1300
O0128,C090,P023,2,Shipped,2026-07-22,2026-07-28,130
O0129,C011,P018,3,Delivered,2026-07-01,2026-07-04,1770
O0130,C089,P016,3,Delivered,2026-07-27,2026-07-30,750
O0131,C012,P031,3,Shipped,2026-08-01,2026-08-03,105
O0132,C085,P019,1,Delivered,2026-07-26,2026-07-30,900
O0133,C055,P038,2,Delivered,2026-07-31,2026-08-04,36
O0134,C035,P048,3,Shipped,2026-07-22,2026-07-27,630
O0135,C025,P020,2,Processing,2026-07-15,,920
O0136,C089,P021,1,Cancelled,2026-08-04,,80
O0137,C093,P012,1,Delivered,2026-07-14,2026-07-18,300
O0138,C107,P038,3,Shipped,2026-08-08,2026-08-10,54
O0139,C002,P013,2,Shipped,2026-07-15,2026-07-19,1500
O0140,C071,P046,3,Shipped,2026-07-09,2026-07-11,360
O0141,C014,P019,3,Delivered,2026-07-09,2026-07-14,2700
O0142,C044,P001,3,Delivered,2026-07-19,2026-07-24,2550
O0143,C015,P012,1,Delivered,2026-07-17,2026-07-22,300
O0144,C081,P005,2,Processing,2026-08-01,,2500
O0145,C073,P044,1,Processing,2026-07-10,,520
O0146,C098,P020,1,Processing,2026-07-16,,460
O0147,C100,P027,3,Delivered,2026-08-08,2026-08-11,285
O0148,C111,P034,2,Delivered,2026-07-29,2026-08-02,50
O0149,C079,P038,2,Delivered,2026-07-20,2026-07-22,36
O0150,C085,P048,1,Delivered,2026-07-14,2026-07-18,210
O0151,C010,P006,1,Processing,2026-07-16,,590
O0152,C061,P011,1,Delivered,2026-07-27,2026-08-02,500
O0153,C090,P019,1,Shipped,2026-07-15,2026-07-19,900
O0154,C101,P030,1,Shipped,2026-08-13,2026-08-17,140
O0155,C055,P041,3,Delivered,2026-08-12,2026-08-15,480
O0156,C106,P008,3,Delivered,2026-07-15,2026-07-19,4350
O0157,C040,P010,1,Processing,2026-07-04,,890
O0158,C016,P039,3,Delivered,2026-08-06,2026-08-11,330
O0159,C065,P030,3,Delivered,2026-07-20,2026-07-24,420
O0160,C006,P035,2,Processing,2026-07-29,,180
O0161,C012,P028,3,Delivered,2026-07-21,2026-07-23,330
O0162,C098,P015,3,Delivered,2026-08-06,2026-08-08,2040
O0163,C097,P044,2,Processing,2026-08-06,,1040
O0164,C024,P012,2,Delivered,2026-08-03,2026-08-07,600
O0165,C061,P038,2,Delivered,2026-08-10,2026-08-12,36
O0166,C110,P023,2,Shipped,2026-07-22,2026-07-24,130
O0167,C085,P011,2,Delivered,2026-07-27,2026-07-31,1000
O0168,C033,P026,3,Delivered,2026-07-03,2026-07-07,360
O0169,C085,P021,1,Delivered,2026-07-26,2026-07-28,80
O0170,C067,P035,2,Processing,2026-07-27,,180
O0171,C027,P024,3,Delivered,2026-08-01,2026-08-03,540
O0172,C113,P018,3,Delivered,2026-07-09,2026-07-14,1770
O0173,C081,P045,2,Processing,2026-07-08,,900
O0174,C071,P039,1,Shipped,2026-07-11,2026-07-13,110
O0175,C117,P027,1,Cancelled,2026-07-15,,95
O0176,C064,P008,2,Delivered,2026-07-08,2026-07-11,2900
O0177,C107,P046,2,Delivered,2026-08-02,2026-08-07,240
O0178,C050,P031,2,Delivered,2026-07-16,2026-07-19,70
O0179,C111,P013,3,Delivered,2026-08-02,2026-08-05,2250
O0180,C035,P005,2,Shipped,2026-07-27,2026-08-02,2500
O0181,C085,P001,2,Delivered,2026-07-20,2026-07-26,1700
O0182,C043,P032,1,Delivered,2026-07-29,2026-08-02,50
O0183,C112,P036,3,Delivered,2026-07-25,2026-07-29,135
O0184,C110,P013,3,Delivered,2026-07-16,2026-07-19,2250
O0185,C091,P050,2,Shipped,2026-07-03,2026-07-08,360
O0186,C020,P025,2,Delivered,2026-08-12,2026-08-19,110
O0187,C043,P032,1,Delivered,2026-07-09,2026-07-15,50
O0188,C002,P007,2,Delivered,2026-07-07,2026-07-12,1960
O0189,C010,P047,1,Delivered,2026-07-27,2026-07-30,650
O0190,C084,P031,2,Delivered,2026-07-22,2026-07-27,70
O0191,C041,P006,2,Delivered,2026-08-13,2026-08-18,1180
O0192,C080,P041,3,Delivered,2026-08-01,2026-08-03,480
O0193,C030,P005,1,Delivered,2026-08-10,2026-08-14,1250
O0194,C098,P048,1,Cancelled,2026-07-28,,210
O0195,C039,P041,3,Shipped,2026-07-07,2026-07-14,480
O0196,C046,P002,1,Delivered,2026-07-21,2026-07-25,650
O0197,C073,P024,2,Shipped,2026-07-10,2026-07-15,360
O0198,C079,P044,1,Processing,2026-07-11,,520
O0199,C019,P025,3,Shipped,2026-08-13,2026-08-19,165
O0200,C086,P015,2,Shipped,2026-08-10,2026-08-14,1360
O0201,C010,P001,2,Delivered,2026-07-19,2026-07-22,1700
O0202,C089,P029,2,Shipped,2026-08-07,2026-08-12,90
O0203,C050,P017,2,Processing,2026-07-20,,680
O0204,C074,P031,1,Shipped,2026-07-16,2026-07-20,35
O0205,C107,P019,3,Processing,2026-07-19,,2700
O0206,C111,P043,2,Processing,2026-07-18,,760
O0207,C064,P044,3,Delivered,2026-07-04,2026-07-11,1560
O0208,C082,P019,1,Delivered,2026-08-08,2026-08-11,900
O0209,C099,P013,3,Delivered,2026-07-17,2026-07-24,2250
O0210,C083,P043,3,Delivered,2026-07-09,2026-07-16,1140
O0211,C047,P003,2,Processing,2026-07-29,,1440
O0212,C096,P047,1,Delivered,2026-07-06,2026-07-10,650
O0213,C070,P027,1,Processing,2026-07-13,,95
O0214,C033,P024,3,Delivered,2026-08-02,2026-08-05,540
O0215,C010,P031,2,Delivered,2026-07-22,2026-07-27,70
O0216,C109,P010,1,Delivered,2026-08-13,2026-08-18,890
O0217,C034,P036,2,Delivered,2026-07-06,2026-07-08,90
O0218,C087,P035,1,Shipped,2026-07-30,2026-08-06,90
O0219,C014,P017,3,Delivered,2026-07-25,2026-07-29,1020
O0220,C114,P044,1,Processing,2026-07-31,,520
O0221,C082,P036,2,Shipped,2026-08-09,2026-08-11,90
O0222,C018,P030,3,Delivered,2026-07-20,2026-07-22,420
O0223,C015,P003,1,Cancelled,2026-07-20,,720
O0224,C059,P007,1,Processing,2026-08-04,,980
O0225,C076,P024,3,Delivered,2026-08-14,2026-08-19,540
O0226,C013,P048,3,Delivered,2026-07-10,2026-07-17,630
O0227,C005,P032,3,Delivered,2026-07-27,2026-07-31,150
O0228,C110,P045,2,Shipped,2026-07-14,2026-07-17,900
O0229,C046,P024,1,Shipped,2026-08-13,2026-08-20,180
O0230,C016,P004,2,Processing,2026-07-18,,1040
O0231,C077,P030,1,Shipped,2026-08-12,2026-08-19,140
O0232,C101,P002,1,Shipped,2026-07-22,2026-07-25,650
O0233,C027,P037,1,Delivered,2026-07-05,2026-07-11,60
O0234,C101,P038,1,Shipped,2026-07-15,2026-07-18,18
O0235,C017,P039,1,Delivered,2026-07-18,2026-07-21,110
O0236,C111,P035,2,Processing,2026-07-12,,180
O0237,C076,P002,1,Shipped,2026-07-01,2026-07-04,650
O0238,C095,P021,1,Shipped,2026-07-12,2026-07-15,80
O0239,C058,P027,3,Delivered,2026-07-08,2026-07-13,285
O0240,C065,P050,2,Delivered,2026-08-02,2026-08-07,360
O0241,C067,P015,3,Delivered,2026-07-03,2026-07-10,2040
O0242,C008,P020,2,Cancelled,2026-08-11,,920
O0243,C092,P031,2,Delivered,2026-07-28,2026-08-02,70
O0244,C009,P029,1,Shipped,2026-07-06,2026-07-09,45
O0245,C092,P009,2,Delivered,2026-08-09,2026-08-15,960
O0246,C065,P021,2,Delivered,2026-08-08,2026-08-13,160
O0247,C110,P039,2,Delivered,2026-07-07,2026-07-09,220
O0248,C056,P042,3,Delivered,2026-08-05,2026-08-08,660
O0249,C052,P029,1,Shipped,2026-07-27,2026-08-01,45
O0250,C086,P027,3,Shipped,2026-07-07,2026-07-11,285
O0251,C009,P017,2,Delivered,2026-07-10,2026-07-15,680
O0252,C095,P006,1,Shipped,2026-07-06,2026-07-13,590
O0253,C072,P024,1,Processing,2026-08-05,,180
O0254,C046,P036,2,Processing,2026-08-12,,90
O0255,C077,P043,2,Cancelled,2026-07-04,,760
O0256,C020,P020,2,Delivered,2026-07-07,2026-07-10,920
O0257,C109,P043,2,Delivered,2026-07-15,2026-07-19,760
O0258,C029,P036,2,Delivered,2026-07-08,2026-07-14,90
O0259,C072,P028,3,Delivered,2026-08-09,2026-08-16,330
O0260,C004,P002,3,Delivered,2026-08-12,2026-08-16,1950
O0261,C045,P012,2,Delivered,2026-08-14,2026-08-18,600
O0262,C009,P001,1,Delivered,2026-07-10,2026-07-15,850
O0263,C012,P010,3,Cancelled,2026-08-10,,2670
O0264,C044,P048,3,Shipped,2026-07-14,2026-07-19,630
O0265,C077,P011,2,Delivered,2026-07-20,2026-07-26,1000
O0266,C080,P006,1,Processing,2026-07-10,,590
O0267,C055,P004,3,Shipped,2026-07-06,2026-07-13,1560
O0268,C097,P032,3,Shipped,2026-07-29,2026-08-01,150
O0269,C087,P033,1,Shipped,2026-07-23,2026-07-27,40
O0270,C006,P044,3,Delivered,2026-08-01,2026-08-05,1560
O0271,C027,P015,2,Processing,2026-08-08,,1360
O0272,C042,P020,1,Delivered,2026-07-09,2026-07-13,460
O0273,C017,P008,1,Delivered,2026-08-01,2026-08-04,1450
O0274,C104,P025,3,Delivered,2026-07-15,2026-07-22,165
O0275,C056,P023,1,Delivered,2026-07-26,2026-07-28,65
O0276,C055,P002,2,Delivered,2026-07-05,2026-07-11,1300
O0277,C052,P037,2,Shipped,2026-08-10,2026-08-12,120
O0278,C059,P002,2,Delivered,2026-07-11,2026-07-17,1300
O0279,C032,P045,2,Shipped,2026-07-06,2026-07-08,900
O0280,C112,P028,3,Delivered,2026-07-26,2026-07-31,330
O0281,C010,P020,3,Shipped,2026-07-22,2026-07-25,1380
O0282,C116,P033,3,Delivered,2026-07-08,2026-07-11,120
O0283,C105,P050,2,Delivered,2026-07-23,2026-07-30,360
O0284,C026,P010,1,Processing,2026-07-07,,890
O0285,C010,P012,3,Delivered,2026-07-10,2026-07-17,900
O0286,C098,P012,3,Delivered,2026-08-01,2026-08-07,900
O0287,C083,P038,2,Delivered,2026-08-13,2026-08-19,36
O0288,C041,P041,3,Delivered,2026-07-21,2026-07-28,480
O0289,C039,P010,2,Delivered,2026-07-05,2026-07-12,1780
O0290,C040,P018,3,Shipped,2026-07-04,2026-07-06,1770
O0291,C107,P030,2,Processing,2026-07-03,,280
O0292,C079,P019,1,Delivered,2026-08-11,2026-08-13,900
O0293,C102,P039,3,Delivered,2026-07-25,2026-07-31,330
O0294,C084,P048,1,Delivered,2026-07-29,2026-08-04,210
O0295,C008,P013,2,Delivered,2026-08-08,2026-08-11,1500
O0296,C011,P029,1,Cancelled,2026-07-22,,45
O0297,C091,P033,3,Processing,2026-07-12,,120
O0298,C047,P029,2,Delivered,2026-08-03,2026-08-06,90
O0299,C087,P024,2,Shipped,2026-07-25,2026-07-29,360
O0300,C043,P039,1,Delivered,2026-08-10,2026-08-12,110
O0301,C093,P007,3,Shipped,2026-08-13,2026-08-17,2940
O0302,C085,P043,3,Shipped,2026-07-10,2026-07-16,1140
O0303,C090,P010,2,Cancelled,2026-07-20,,1780
O0304,C040,P043,2,Delivered,2026-07-09,2026-07-11,760
O0305,C086,P036,2,Delivered,2026-08-11,2026-08-14,90
O0306,C083,P045,3,Delivered,2026-08-13,2026-08-15,1350
O0307,C040,P043,2,Shipped,2026-08-02,2026-08-06,760
O0308,C025,P012,1,Delivered,2026-07-22,2026-07-27,300
O0309,C109,P015,1,Processing,2026-07-10,,680
O0310,C005,P007,3,Delivered,2026-08-04,2026-08-10,2940
O0311,C049,P043,2,Processing,2026-08-09,,760
O0312,C104,P010,1,Delivered,2026-07-12,2026-07-18,890
O0313,C047,P011,3,Processing,2026-07-29,,1500
O0314,C079,P044,3,Cancelled,2026-07-16,,1560
O0315,C040,P019,3,Shipped,2026-07-29,2026-08-01,2700
O0316,C057,P031,1,Delivered,2026-07-24,2026-07-30,35
O0317,C021,P030,2,Delivered,2026-07-25,2026-07-30,280
O0318,C083,P013,3,Delivered,2026-07-09,2026-07-11,2250
O0319,C109,P031,2,Delivered,2026-08-05,2026-08-12,70
O0320,C021,P034,1,Processing,2026-07-19,,25
O0321,C056,P018,2,Processing,2026-08-02,,1180
O0322,C054,P006,1,Delivered,2026-07-29,2026-07-31,590
O0323,C011,P004,2,Shipped,2026-08-02,2026-08-07,1040
O0324,C108,P024,1,Shipped,2026-07-02,2026-07-04,180
O0325,C005,P046,3,Delivered,2026-07-22,2026-07-25,360
O0326,C061,P019,2,Delivered,2026-08-14,2026-08-21,1800
O0327,C033,P029,3,Delivered,2026-07-01,2026-07-03,135
O0328,C068,P014,1,Delivered,2026-08-05,2026-08-11,420
O0329,C007,P028,1,Shipped,2026-07-19,2026-07-21,110
O0330,C009,P016,2,Delivered,2026-08-10,2026-08-15,500
O0331,C066,P008,2,Delivered,2026-08-08,2026-08-15,2900
O0332,C079,P037,1,Shipped,2026-07-10,2026-07-12,60
O0333,C086,P023,1,Shipped,2026-08-06,2026-08-13,65
O0334,C068,P006,3,Processing,2026-07-24,,1770
O0335,C112,P035,3,Delivered,2026-08-02,2026-08-07,270
O0336,C033,P031,1,Shipped,2026-08-10,2026-08-14,35
O0337,C031,P048,1,Delivered,2026-07-23,2026-07-27,210
O0338,C075,P047,3,Processing,2026-08-10,,1950
O0339,C070,P048,2,Processing,2026-07-09,,420
O0340,C060,P022,3,Delivered,2026-07-12,2026-07-19,450
O0341,C018,P045,2,Processing,2026-08-10,,900
O0342,C026,P005,3,Processing,2026-07-30,,3750
O0343,C066,P003,1,Shipped,2026-07-03,2026-07-07,720
O0344,C025,P026,3,Shipped,2026-07-31,2026-08-07,360
O0345,C035,P019,2,Delivered,2026-07-04,2026-07-08,1800
O0346,C057,P008,2,Delivered,2026-07-28,2026-08-04,2900
O0347,C048,P025,2,Delivered,2026-07-12,2026-07-17,110
O0348,C056,P034,2,Delivered,2026-07-06,2026-07-08,50
O0349,C011,P039,1,Shipped,2026-08-04,2026-08-06,110
O0350,C092,P021,3,Shipped,2026-07-19,2026-07-25,240
O0351,C006,P028,1,Shipped,2026-08-14,2026-08-19,110
O0352,C036,P047,2,Cancelled,2026-08-09,,1300
O0353,C047,P041,1,Delivered,2026-07-05,2026-07-10,160
O0354,C004,P033,3,Processing,2026-08-13,,120
O0355,C017,P010,3,Delivered,2026-08-13,2026-08-15,2670
O0356,C073,P005,1,Shipped,2026-08-11,2026-08-16,1250
O0357,C048,P003,3,Delivered,2026-07-10,2026-07-14,2160
O0358,C047,P029,1,Processing,2026-08-06,,45
O0359,C004,P026,2,Shipped,2026-08-11,2026-08-13,240
O0360,C016,P048,1,Delivered,2026-08-01,2026-08-07,210
O0361,C037,P017,2,Shipped,2026-07-29,2026-08-04,680
O0362,C110,P045,2,Processing,2026-07-13,,900
O0363,C012,P005,2,Delivered,2026-07-12,2026-07-17,2500
O0364,C071,P044,2,Shipped,2026-08-12,2026-08-14,1040
O0365,C091,P035,2,Delivered,2026-07-20,2026-07-27,180
O0366,C029,P045,3,Delivered,2026-07-12,2026-07-18,1350
O0367,C004,P008,1,Shipped,2026-07-09,2026-07-14,1450
O0368,C017,P024,3,Shipped,2026-08-06,2026-08-12,540
O0369,C093,P040,1,Shipped,2026-07-05,2026-07-12,55
O0370,C010,P031,3,Delivered,2026-07-27,2026-08-02,105
O0371,C060,P009,2,Processing,2026-08-11,,960
O0372,C107,P044,3,Processing,2026-07-23,,1560
O0373,C056,P050,3,Delivered,2026-08-10,2026-08-13,540
O0374,C022,P033,1,Delivered,2026-07-08,2026-07-12,40
O0375,C115,P011,2,Shipped,2026-07-15,2026-07-21,1000
O0376,C071,P019,1,Processing,2026-07-17,,900
O0377,C012,P018,1,Shipped,2026-08-10,2026-08-16,590
O0378,C020,P033,3,Delivered,2026-07-11,2026-07-17,120
O0379,C044,P011,3,Delivered,2026-08-09,2026-08-15,1500
O0380,C083,P037,1,Processing,2026-07-02,,60
O0381,C054,P050,3,Delivered,2026-07-17,2026-07-23,540
O0382,C070,P040,3,Delivered,2026-07-02,2026-07-09,165
O0383,C052,P019,3,Delivered,2026-07-20,2026-07-27,2700
O0384,C057,P020,2,Delivered,2026-07-05,2026-07-08,920
O0385,C019,P027,2,Shipped,2026-07-30,2026-08-05,190
O0386,C052,P021,3,Delivered,2026-07-21,2026-07-25,240
O0387,C031,P009,2,Delivered,2026-08-02,2026-08-06,960
O0388,C013,P030,1,Shipped,2026-07-18,2026-07-21,140
O0389,C032,P004,2,Delivered,2026-07-25,2026-07-30,1040
O0390,C098,P011,2,Delivered,2026-08-06,2026-08-09,1000
O0391,C064,P011,2,Delivered,2026-08-02,2026-08-06,1000
O0392,C028,P002,1,Delivered,2026-07-26,2026-07-29,650
O0393,C064,P038,2,Processing,2026-07-04,,36
O0394,C002,P039,3,Delivered,2026-08-13,2026-08-19,330
O0395,C047,P007,2,Delivered,2026-07-09,2026-07-16,1960
O0396,C007,P049,2,Processing,2026-07-24,,860
O0397,C010,P037,3,Shipped,2026-07-13,2026-07-17,180
O0398,C106,P025,3,Delivered,2026-07-29,2026-08-02,165
O0399,C013,P040,3,Processing,2026-08-09,,165
O0400,C097,P026,2,Delivered,2026-07-22,2026-07-26,240
O0401,C006,P010,1,Delivered,2026-08-08,2026-08-14,890
O0402,C067,P003,1,Delivered,2026-07-09,2026-07-14,720
O0403,C042,P030,1,Delivered,2026-08-08,2026-08-11,140
O0404,C095,P040,2,Shipped,2026-07-11,2026-07-17,110
O0405,C069,P020,3,Delivered,2026-07-22,2026-07-28,1380
O0406,C048,P032,3,Shipped,2026-08-06,2026-08-08,150
O0407,C075,P022,3,Cancelled,2026-07-08,,450
O0408,C061,P020,3,Delivered,2026-08-14,2026-08-20,1380
O0409,C007,P017,3,Delivered,2026-08-07,2026-08-14,1020
O0410,C080,P038,2,Delivered,2026-07-11,2026-07-18,36
O0411,C005,P050,2,Delivered,2026-07-10,2026-07-13,360
O0412,C057,P037,3,Processing,2026-07-08,,180
O0413,C053,P021,2,Shipped,2026-07-10,2026-07-13,160
O0414,C094,P033,3,Delivered,2026-07-31,2026-08-07,120
O0415,C042,P004,3,Delivered,2026-07-09,2026-07-15,1560
O0416,C059,P043,2,Shipped,2026-08-03,2026-08-06,760
O0417,C088,P035,2,Shipped,2026-08-04,2026-08-11,180
O0418,C032,P042,3,Delivered,2026-07-17,2026-07-20,660
O0419,C099,P018,3,Shipped,2026-07-20,2026-07-24,1770
O0420,C041,P019,3,Delivered,2026-07-14,2026-07-19,2700
O0421,C036,P031,2,Delivered,2026-08-05,2026-08-12,70
O0422,C115,P019,1,Delivered,2026-08-06,2026-08-11,900
O0423,C092,P026,2,Shipped,2026-07-10,2026-07-14,240
O0424,C062,P006,2,Delivered,2026-07-29,2026-08-05,1180
O0425,C090,P014,1,Shipped,2026-08-04,2026-08-10,420
O0426,C031,P018,1,Delivered,2026-07-07,2026-07-13,590
O0427,C082,P016,1,Delivered,2026-08-12,2026-08-15,250
O0428,C061,P015,1,Shipped,2026-07-07,2026-07-14,680
O0429,C071,P007,3,Processing,2026-07-09,,2940
O0430,C062,P011,2,Delivered,2026-08-11,2026-08-16,1000
O0431,C008,P042,1,Shipped,2026-07-19,2026-07-26,220
O0432,C095,P050,1,Delivered,2026-08-11,2026-08-17,180
O0433,C120,P047,1,Shipped,2026-07-12,2026-07-15,650
O0434,C096,P003,2,Processing,2026-08-01,,1440
O0435,C014,P019,1,Shipped,2026-07-01,2026-07-07,900
